q_no,q_concept,question,1,2,3,4,5,gold_label,pos_explaination,neg_explaination,combined_explaination
b0d19d6d4884459657ea939444d256c6,study,What are you about to do If you're going to study in a library?,concentrating,concentration,settle down,read books,concentrate,read books,"People read books in a library.
You are about to read books if you're going to study in a library.","Concentrating cant be done by a person.
If you're going to study in a library, you might not do concentration.
You might not settle down while studying in a library.
If you're going to study in a library, you might not concentrate.","People read books in a library. You are about to read books if you're going to study in a library. Concentrating cant be done by a person. If you're going to study in a library, you might not do concentration or concentrate. You might not settle down while studying in a library."
b28dab0d9fdd3dfc708ec75c75e2d2df,cry,What happened to the boy to make him cry?,hurt,acting,make happy,miserable,got injured,got injured,"Got injured means to get harmed, damaged, or impaired.
The boy happened to be injured which make him cry.","Hurt is to feel pain in a part of your body, or to injure someone or cause them pain. The boy happened to be states that he was harmed and not hurt.
Acting is the art or occupation of performing fictional roles in plays, films, or television. The boy was harmed which made him cry and he was not acting.
Make happy means to celebrate noisily, often indulging in drinking; engage in uproarious festivities. The boy was crying and was not making happy.
Miserable means a person wretchedly unhappy or uncomfortable. The boy wasn’t feeling miserable or uncomfortable, he got harmed which made him cry.","Got injured means to get harmed, damaged, or impaired. The boy happened to be injured which make him cry. The boy happened to be states that he was harmed and not hurt. The boy was harmed which made him cry and he was not acting. The boy was crying and was not making happy. The boy wasn’t feeling miserable or uncomfortable, he got harmed which made him cry."
fe17493aeda594569f4501f51ec67fc2,all humans,All humans store urine in what organ?,feelings,names,naval,bladders,bladders,bladders,Bladder is a muscular membranous sac in the abdomen which stores urine.,"Feelings are emotions and not organs.
Names are words used to refer each other and not organs.
Navel is a knotty depression on the belly and not an organ.
Bladder holds urine.",Bladder is a muscular membranous sac in the abdomen which all humans have and stores urine. All the other options are not organs.
a1e63c7a6c8331ebe3e2e8c6d2920d2e,lead,Graphite is referred to as lead in what writing implement?,lead pencil,black,very heavy,news article,card game,lead pencil,"Lead pencil is a writing implement or art medium usually constructed of a narrow, solid pigment core inside a protective casing.
Graphite is referred to as lead in lead pencil, a writing implement.","Black is the colour of a graphite and not the writing implement.
Very heavy terms in weight of and is not the writing implement.
News article is current or recent news of either general interest. News article is not a writing implement.
Card game means a pack of 52 playing cards, pack of cards. Card game is not a writing implement.","Lead pencil is a writing implement or art medium usually constructed of a narrow, solid pigment core inside a protective casing. Graphite is referred to as lead in lead pencil, a writing implement. Black is the colour of a graphite and not the writing implement. Very heavy terms in weight of and is not the writing implement. News article is not a writing implement. Card game means a pack of 52 playing cards, pack of cards. Card game is not a writing implement."
950932e2d17222823bde529b9dbdf76d,gentle,"The hand was gentle, I washed around the dirt soly and softly.  But the chemicals were a different story.  They were very what?",harsh,firm,hatred,rough,hard,harsh,Chemical substances are generally very hard to wash off from surfaces.,"Firm is not the opposite of gentle.
Hatred is not the opposite of gentle.
Rough is not the opposite of gentle.
Hard is not the opposite of gentle.",Chemical substances are generally very hard to wash off from surfaces and harsh is the opposite of gentle. None of the other options are the opposite of gentle.
7b89fe3ff96a8701fe46ae0ea6764051,flirting,"When you get down to the primal basics, flirting causes what?",getting into trouble,sparks fly,sexual excitement,sadness,unwanted pregnancy,sexual excitement,Flirting means a behave as though sexually attracted to someone so flirting causes sexual excitement to person.,"Flirting doesn't cause getting into trouble.
Flirting doens't cause sparks fly as generally flirting doesn't cause any argument generally.
Flirting doens't cause sadness generally.
Flirting doens't cause unwanted pregnancy as person doesn't get pregnant by flirting.","Flirting means a behave as though sexually attracted to someone so flirting causes sexual excitement to person. Flirting doesn't cause getting into trouble.
            Flirting doens't cause sparks fly as generally flirting doesn't cause any argument generally. Flirting doens't cause sadness generally.
            Flirting doens't cause unwanted pregnancy as person doesn't get pregnant by flirting."
a685b4c9809b57a8e616ce01fb779355,air,"How might we get so far up into the air around Earth, we cannot be seen?",balloon,space shuttle,supermarket,house,rocket,space shuttle,"Space shuttle is a vessel used for travelling into the space.
Space is the area that surrounds the earth.
Someone in space cannot be seen from the earth.","Balloon is a large bag filled with air.
Balloon can be seen from the air.
Supermarket is on the earth.
House is on the earth.
Rocket comes under space shuttle.",Space shuttle is a vessel used for travelling into the space that surrounds the earth. Someone in space cannot be seen from the earth. Rocket comes under space shuttle and balloon can be seen from the earth. Other options are on the earth itself.
a29767d7f7c854fbb8b155fe2e730cf7,return ticket,Sam put his return ticket in a special box.  It was where he kept all of his what?,airline envelope,airport,plane,tickets,keepsakes,tickets,Sam put his return ticket in a special box where he kept all of his tickets.,"Airline envelope is not a place to keep tickets.
Return ticket is not to be kept at airport.
Plane is not a place where Sam can put his return ticket.
Return tickets cant be kept in keepsakes.",Sam put his return ticket in a special box where he kept all of his tickets. Airline envelope is not a place to keep tickets. Return ticket is not to be kept at airport.  Plane is not a place where Sam can put his return ticket. Return tickets cant be kept in keepsakes.
6fc45e4e1fa72cefff19756e2544ff09,dead body,Where would you put a dead body if you do not want anyone to find it and you do not have a car?,trunk,corner of two streets,police station,basement,funeral,basement,"If one does not have a car, they can go to a basement and hide dead body as not many people go there","Trunk is of a car
Corner of two streets is open and   anyone can find dead body there
Police station is not palce where dead body is hidden
Funeral is not a place where dead body is hidden","If one does not have a car, they can go to a basement and hide dead body as not many people go there. All the other options are not the place where one hides dead body when they do not have a car."
37d93f390c728cb7179e234d767306d4,bed,When do you get out of a bed?,footbed,during the day,awake,sleep,floor,awake,"Bed is a furniture where people sleep.
Awake is the action of getting out of sleep.
After getting out of sleep, one gets out of bed.","Footbed is an insole in a shoe.
Footbed is not a point in time.
One can be asleep or awake during the day.
One does not necessarily get out of bed during the day.
One stays in bed while in sleep.
Floor is a surface on ground.
Floor is not a point in time.",Bed is a furniture where people sleep and awake is the action of getting out of sleep which is when one gets out of bed. Floor and footbed are not points in time and one does not necessarily get out of bed when the other options say.
3263589df11725369973f5b0783b01c3,grape,John wanted to get grapes so he went where?,kitchen,fruit basket,bowl of fruit,field,farmers market,kitchen,"Kitchen is a place where food is prepared or cooked or stored.
Grapes are a type of food.","Fruit basket is basket containing variety of fruits.
Fruit basket may be found in kitchen.
Bowl of fruit may be found in kitchen.
Field is an open area.
Grapes may not grow in field.
Farmer's market is retail marketplace selling food from local farmers.
Farmer's market may not have grapes.",Kitchen is a place where food like grapes is prepared or cooked or stored. Hence John wanted to get grapes so he went to kitchen. Grapes may not grow in field and farmer's market may not have grapes. Other options may be found in kitchen.
37644422df4bcd28b3f54bbf3fc2c0f8,national highway,"They had to know where to go, they got on the national highway after consulting the what?",canada,atlas,united states,major cities,book,atlas,"Atlas is a books of map which shows various routes.
One can consult an atlas to know about routes to reach a place.","Canada is a country.
United States is a country.
Major cities is vague.
Book is a broad term and can be a book of anything.",Atlas is a book of maps which is read by humans to know about routes to reach a location. All the other options are incorrect as they do not help in consulting about routes to reach somewhere.
8f9390dc895f036c0af6c0b0c0fb4d2e,notepad,Where can you store a small notepad on your person?,back pocket,meeting,drug store,home,school,back pocket,"A back pocket is part of personal attire
A backpocket has storage space to hold a small notepad","Meeting is an event not place
Drug stores are not a place where personal notepads are stored
Home is not a part of personal place where small notepads are kept
School is not a part of personal place where small notepads are kept",A back pocket is a part of personal attire where one can store their personal small notepad. All the other options are not fesiable as they are not a place where one can store their small notepads.
63f7ad481a63fc8c6dffe00519d4a167,reading newspaper,If you're reading a newspaper from another country what are you doing?,learning about world,education,get angry,concern,eat cake,learning about world,"If you are reading a newspaper from another country, it simply means that you are learning about the world.","You cannot receive education by reading another country's newspaper.
You cant get angry just by reading a newpaper.
You might not be concerned for other countries.
While another country's newspaper, you cant eat cake.","If you are reading a newspaper from another country, it simply means that you are learning about the world. You cannot receive education by reading another country's newspaper. You cant get angry just by reading a newpaper. You might not be concerned for other countries. While another country's newspaper, you cant eat cake."
748842cda8d355f5511d23d7f7a7bb67,peanut butter,Where can peanut butter be stored?,container,supermarket,pantry,sandwich,jar,pantry,"Peanut butter can be stored at room temperature
Pantry has normal room temperature
Peanut butter can be stored in a pantry","Container in a thing, not a place
Supermarkets do not store peanut butter, they sell them
Sandwich is not a place to store peanut butter
Jar is a thing, not a place","Peanut butter can be stored at room temperature. Pantry has normal room temperature. Peanut butter can be stored in a pantry. Container and jars are things, not places. Supermarkets do not store peanut butter, they sell them. Sandwich is not a place to store peanut butter."
cd37f664184ee05ec099080ba2e2dc9f,eating breakfast,"If somebody eating breakfast keeps it light, it may be because they don't want to go to work with a what?",have energy,indigestion,better day,stomachache,full stomach,full stomach,"eating light breakfast doesn't make your stomach full.
with Light stomach you can work comfortably at work place.","everybody wants to have energy as energy is needed to work.
eating light breakfast doesnt prevent indigestion completely.
better day is something that everbody wants.
eating light breakfast doesnt prevent stomach ache completely.","eating light breakfast doesn't make your stomach full and with Light stomach you can work comfortably at work place.
           everybody wants to have energy as energy is needed to work. eating light breakfast doesnt prevent indigestion or stomach ache completely
            better day is something that everbody wants."
bfd14dedb440ae1c266c61aa22960778,paper,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional,crumpled,saturated with water,"The atmosphere surrounding us has water in it.
Water get saturated in the paper when kept outside.","One material often recycled is not related to the question.
Ripped means badly torn.
One dimensional is not related to the question.
Crumpled does not happen without human force.",The atmosphere surrounding us has water in it. Water get saturated in the paper when kept outside. All the other options are incorrect as they do not answer the question
abab9df6ff0a495fceb2495874c96c7f,virus,A virus causes the flu and the common what?,cold,disease,infection,mutate,make person sick,cold,The flu and common cold is caused by a virus.,"There is no common disease.
Infection is not commom.
A virus cant mutate.
make a person sick is not common thing",The flu and common cold is caused by a virus. There is no common disease. Infection is not commom. A virus can mutate. make a person sick is not common thing
29bc2ec70a183af7f452ac99ecd5578a,getting drunk,what is another word for getting drunk?,intoxication,blazed,vomiting,hangover,being sick,intoxication,"Intoxication is a state of being affected by alcohol.
Intoxication means losing control over body and mind.
Drinking alcohol means getting drunk.","Blazed isn't another word for getting drunk.
Vomiting is spitting liquids from stomach.
Vomiting isn't another word for getting drunk.
Hangover isn't another word for getting drunk.
Being sick isn't another word for getting drunk.",Intoxication is a state of being affected by alcohol where control over body and mind is clearly lost. So intoxication is another word for getting drunk. Other options aren't other words for getting drunk.
f5eb9d6ea11af5193efd4b07297edc25,smoking,What can smoking lead to?,ill health,heart attach,lung disease,death,pleasure,lung disease,Smoking can lead to lung disease.,"Ill health is not caused only by smoking.
Heart attach may not be caused due to smoking.
Smoking might not lead to death.
A person might not get pleasure by smoking.",Smoking can lead to lung disease. Ill health is not caused only by smoking. Heart attach may not be caused due to smoking. Smoking might not lead to death. A person might not get pleasure by smoking.
31651269a9e216bf633769fa85734b99,learning language,"When learning language, people often don' t know which word to use, or pick the wrong ones by accident.  This can cause what?",frustration,problems,misunderstandings,headaches,nausea,misunderstandings,"Misunderstandings means a failure to understand something correctly.
When learning language, people often don't know which word to use, or pick the wrong one’s by accident. This can cause misunderstandings.","Frustration is the feeling of being upset or annoyed as a result of being unable to change or achieve something. When you pick the wrong word by accident and don't know which word to use, the whole meaning of what you are saying can change and this act can’t cause frustration.
Problems is a matter or situation regarded as unwelcome or harmful and needing to be dealt with and overcome. When you pick the wrong word by accident and don't know which word to use, is not a harmful situation for anyone.
Headaches is a continuous pain in the head. Headaches can’t be caused by when you pick the wrong word by accident and don't know which word to use.
Nausea is a queasy sensation including an inclination to vomit. Nausea is a motion sickness as when you pick the wrong word by accident and don't know which word to use, doesn’t mean you are sick.","Misunderstandings means a failure to understand something correctly. When learning language, people often don't know which word to use, or pick the wrong one’s by accident. This can cause misunderstandings. When you pick the wrong word by accident and don't know which word to use, the whole meaning of what you are saying can change and this act can’t cause frustration. When you pick the wrong word by accident and don't know which word to use, is not a harmful situation for anyone. Headaches can’t be caused by when you pick the wrong word by accident and don't know which word to use. Nausea is a motion sickness as when you pick the wrong word by accident and don't know which word to use, doesn’t mean you are sick."
f557e9bd010a726203ac8d1fb20b7623,cotton,"The cotton needed to be sent to the shirt factory in the Piedmont, where should it get sent?",by airplane,medicine cabinet,north carolina,georgia,fabric,north carolina,Piedmont is a region in North Carolina.,"By airplane is a means and not a place.
Piedmont is a region and cannot be inside a cabinet.
Piedmont is not in Georgia.
Fabric is a piece of cloth and not a place.",Piedmont is a region in North Carolina which is where the cotton needed to be sent. By airplane and fabric are not places and Piedmont is not in the places from the other options.
61777646d083e9e9c8c58a5367696cb0,food,Where would you find food packaged in MRE's?,fairgrounds,picnic,neighbor's house,supermarket,military base,military base,Military base doesn't always have place to cook so they have food packaged in MRE's that are ready to eat for soldiers.,"Fairgrounds doesn't alwasy have food packaged in MRE's as they have stalls that cook food there and serve.
Picnic doesn't always have food packaged in MRE's as some people cooks at picnic and eat the cooked food there.
neighbor's house doesn't have packaged food in MRE's as all the house have kitchen to cook.
Supermarket may have food packaged in MRE's but for sale not for eating.","Military base doesn't always have place to cook so they have food packaged in MRE's that are ready to eat for soldiers.
            Fairgrounds doesn't alwasy have food packaged in MRE's as they have stalls that cook food there and serve. Picnic doesn't always have food packaged in MRE's as some people cooks at picnic and eat the cooked food there.
            Neighbor's house doesn't have packaged food in MRE's as all the house have kitchen to cook.Supermarket may have food packaged in MRE's but for sale not for eating."
38e5f16d673ff1287400e9ed716e476c,meeting friend,What might you feel if you're meeting a friend you haven't seen in a long time?,cheer,joy,talk,anticipation,excitement,excitement,Excitement is a positive feeling and can be felt when one meets their friend,"Cheering means motivating
Joy means feeling pleasant
Talk cannot be felt
Anticipation means guessing and is not positive","When one meets their friend, they feel positive emotion like excitement. All the other options are not related to feeling if you're meeting a friend you haven't seen in a long time"
6f6d7c317dc55e9cab112d71ef99decf,tickets,"Sally bought tickets to the event and headed out.  She was a fan, though some people found it boring and loud.  She liked watching them go around.  Where is Sally going?",train station,opera,show,dance,race track,race track,"Race track has races which are a event and has tickets
A race track  has people walkign around","Train station does not have events
Opera does not have people walking around
Not all shows have people walking around
Dance is not an event but an art",A race track has racing which is an event and requires tickets. A race track has space where people can walk around. Train station is not a place of events. Opera and Shows do not have people walking around. Dance is not an event but an art.
86b7082b6863455df56981e98130fcbc,food,Where can food stay cold?,cupboard,fridge,oven,glass,table,fridge,"Fridge have very low temprature so that food stay fresh for long time.
Food stay cold in low temprature.
Food can be stored in fridge.","Cupboard cannot be used to keep the food as cupboard have normal temprature so food cannot stay cold.
Oven have high temprature when is use so food in oven doesn't stay cold but instead it becomes hot.
Glass is not place where food can be kept.
Food on table cannot stay cold as table have normal room temprature.","Fridge have very low temprature so that food stay fresh for long time so  Food becomes cold in low temprature and Food can be stored in fridge.
            Cupboard cannot be used to keep the food as cupboard have normal temprature so food cannot stay cold.Oven have high temprature when is use so food in oven doesn't stay cold but instead it becomes hot.
             Glass is not place where food can be kept. Food on table cannot stay cold as table have normal room temprature."
f48445fef74ebfe0a274ba7f67bf5015,walking,"James spent a lot of time walking long distances.   He walked not because he liked it, it made his feet sore, nut because it was his only means of what?",lose weight,moving forward,blisters,locomotion,meditation,locomotion,"For James, walking is the only means of locomotion.
James dont like walking as it made his feet sore and nut but as a means of locomotion he spent a lot of time walking long distances.","Only by walking, a person cant lose weight.
Moving forward is not an aim of someoen
Blisters is not an activity
A person cant do meditation while walking.","For James, walking is the only means of locomotion. James dont like walking as it made his feet sore and nut but as a means of locomotion he spent a lot of time walking long distances. Only by walking, a person cant lose weight. A person cant do meditation while walking. Moving forward is not an aim of someone.Blisters is not an activity"
5441914eeae49dcf91e4759722c4cce4,evening,Evening began to fall and the woods came to life with different animals that preferred the what?,daytime,night,afternoon,early morning,dawn,night,"Night starts when evening began to fall.
The woods came to life with different animals that preferred the night.","Animals dont prefer daytime.
Animals dont prefer afternoon.
Evening didnt began to fall during early morning.
Evening didnt began to fall during dawn.",Night starts when evening began to fall. The woods came to life with different animals that preferred the night. Animals dont prefer afternoon or daytime. Evening didnt began to fall during early morning or dawn.
8c3e27a26a4c7482ab1639d8f9b557b8,earth,What type of plant is the tallest found on earth?,tree,orbit,pressure,space,solar system,tree,tree is the tallest plant found on earth.,"orbit is not plant
pressure is not plant
space is not on earth.
solar system is not on earth but earth is pert of solar system.",tree is the tallest plant found on earth. orbit and pressure is not plant. space is not on earth. solar system is not on earth but earth is pert of solar system.
298187c82e3fa9684b7644ec8dfdd23e,cereal bowl,"The man wanted a new cereal bowl, where should he buy one?",contain cereal,china shop,kitchen cabinet,cupboard,cereal box,china shop,"Cereal bowls can be found in a china shop
Things can be bought in a china shop
China shop is a place","Contain cereal is not a place
Kitchen cabinet is not a place
Cupboard is not a place
Cereal box is not a place","Cereal bowls can be found in a china shop and things can be bought in a china shop. China shop is a place unlike containing cereal, kitchen cabinet, cupboard and cereal box."
07bcc6d7570cb169d61c459afe511ca9,pass course,If he did not pass course this semester he would have to what?,learn,fail,get certificate,go back to,feel proud,go back to,"A person is unable to go ahead if he fails a course
One must repeat the course in order to pass","Only learning does not help in passing the course
Failing is not a logical answer
One does not get a certificate if he does not pass the course
One does not feel good if one does not pass the course","A person is unable to go ahead if he fails a course. In order to pass, one must go back and take it again. Only learning does not help in passing the course. Failing is not a logical answer. One does not get a certificate if he does not pass a course. One does not feel good if one does not pass the course."
005374ba566a6c45c0578786bd750d16,drinking,"When you are drinking liquid, what are you doing?",need to urinate,vomiting,having fun,swallow,sickness,swallow,"swallowing passes the liquid from mouth
When you are drinking liquid,you are swallowing too.","You don't need to urinate when drinking liquid.
You don't do vomiting when drinking liquid.
Having fun is not an action to do.
Sickness is not an action that you do.","When you are drinking liquid you are swallowing.Swallowing passes the liquid from mouth.You don't need to urinate when drinking liquid.
           You don't do vomiting when drinking liquid.Having fun and sickness are not an action to do."
30ae843199a0fa779ef1fc669d7cc7bf,apple tree,"He bought an apple tree to plant near Providence, where did the tree get planted?",beach,rhode island,idaho,new hampshire,fields,rhode island,"Rhode Island is a state in the US also called the Plantation State.
Providence is the capital city of the Plantation State.","Beach is a sandy shore.
Apple trees don't grow in beaches.
Idaho is a state in the US.
Providence isn't in Idaho.
New Hampshire is a state in the US.
Providence isn't in New Hampshire.
Fields are areas of open land.
Fields come under Rhode Island.",Rhode Island is a state in the US also called the Plantation State whose capital city is Providence. He bought an apple tree to plant near Providence in Rhode Island. Apple trees don't grow in beaches and fields come under Rhode Island. Providence isn't in states in the other options.
5483aa853aa126640a576fcaa7c62b28,government,Where can you find the U.S. federal government?,washington d.c,canada,country,capitol building,democracy,washington d.c,"The U.S. federal government houses in the capitol building.
The capitol building is located in washington d.c.","The capitol building is not located in Canada.
Country can be any country.
The capitol building is not located in any country.
The capitol building is in washington d.c.
Democracy is not a place.","The U.S. federal government houses in the capitol building and the capitol building is located in washington d.c, hence one can find the U.S. federal government in washington d.c. The capitol building is not located in any of the other options."
dff92c7d8982a2e312aec72344d4fba9,going into trance,"Sometimes when you go into a deep trance, what happens when you no longer feel attached to your body?",meditation,closed eyes,loss of control,tingling,memory loss,loss of control,"No longer feeling attached to your body means being fully unconscious of external world.
Being fully unconscious of external world results in Loss of control.","Meditation is focussing on one's mind deeply.
Meditation won't happen when one no longer feels attached to body.
Closed eyes won't happen when one no longer feels attached to body.
Tingling is a prickly sensation.
Tingling won't happen when one no longer feels attached to body.
Memory loss won't happen when one no longer feels attached to body.",No longer feeling attached to your body means being fully unconscious of external world which results in loss of control. Other options won't generally happen to one who no longer feels attached to their body.
422799255186e1ea669a89bef9bd8dc5,sneeze,Usually people that sneeze will also do what?,close eyes,park,bless you,cough,yawn,cough,"Coughing and sneezing are directly or indirectly related to each other.
Usually people that sneeze will also do cough.","People might close while they sneeze.
Park is not a correct option.
At the time of sneezing, people dont bless you.
People cant do yaun when they sneeze.","Coughing and sneezing are directly or indirectly related to each other. Usually people that sneeze will also do cough. People might close while they sneeze. Park is not a correct option. At the time of sneezing, people dont bless you. People cant do yaun when they sneeze."
b24d6fe9362f2b239f7c132855fd30d3,eating breakfast,Eating breakfast with a large family leads to a pile of what in the sink?,fullness,underwear,bad breath,better day,dirty dishes,dirty dishes,"Large family consists of many members
All member needs their own dish for breakfast that makes pile of dirty dishes after meal.","Fullness is feeling not thing that can be piled.
underwear are not piled in sink.
bad breath is not thing that you can pile.
Better day is not thing that you can pile in the sink.","Large family consists of many members and All member needs their own dish for breakfast that makes pile of dirty dishes after meal.
           Fullness is feeling not thing that can be piled. underwear are not piled in sink.bad breath or better day is not thing that you can pile."
c8afe123936708e462ddd4bb9c1d7d4d,bus stop,In smaller whats are there less needs a bus stop?,urban area,busy,airport,boarding bus,towns,towns,"Smaller towns cover smaller area
Smaller towns have less population
Bus stops are needed less in smaller areas
Bus stops are less needed in less populated towns","Urban area covers a large area
Busy area has high population
Airport has high population
Boarding bus is not an area",Smaller towns cover smaller area and they have less population unlike a busy area. Bus stops are less neeed in smaller areas and in less populated towns. Busy area and airport have high population.
0bba71d3b150aa7946d26674a85c6b71,danube,What country currently contains the river danube?,yugoslavia,austria,nile,bulgaria,czechoslovakia,bulgaria,"Bulgaria is a country.
The river danube is currently in bulgaria.","The river danube is not in yugoslavia.
The river danube is not in austria.
Nile is not a country.
Czechoslovakia is not a country.",Bulgaria is a country. The river danube is currently in bulgaria. The river danube is not in yugoslavia or austria. Czechoslovakia or nile is not a country.
d13ab3ed59cf25fdccf67f0b576dcebc,ball bearing,"Bob found a bunch of ball bearings behind a wall when he was renovating.  He didn't want them to scatter around, so he picked them up in put them in a what?",machines,pool,can,church,high quality motor,can,"Can is a cylindrical container to store things.
Ball bearings can be put in a container.","Machine means an apparatus for some task.
Machine is not a place to put ball bearings in.
Pool means a large room in the floor filled with water.
Pool is not a place to put ball bearings in.
Church is a building.
Church is not a place to put ball bearings in.
High quality motor is a machine.",Can is a cylindrical container to store things and ball bearings can be put in a container. Bob put the ball bearings in a can so that they won’t scatter. All the other options are not places to put ball bearings for them to not scatter.
02ba5bdc8189ec1eb412e391a0ed57ee,rush,Sam wasn't in a rush to shop.  That allowed him to be more mindful and do what?,slow down,leisure,take time,delay,go slowly,take time,"The one who is not in rush can take more time.
Taking time in doing things helps to be more mindful.","Slow down is not an activity during shopping
Leisure is not an activity to be done while shopping.
The one who is not in rush means he is not doing delay.
Going slow to shopping is not mindful.",The one who is not in rush can take more time. Taking time in doing things helps to be more mindful. Slow down or Leisure is not an activity to be done while shopping. The one who is not in rush means he is not doing delay. Going slow to shopping is not mindful.
7f7a6f2b3087bf37dadbe8aa8d358047,eating lunch,What can eating lunch cause that is painful?,headache,bad breath,heartburn,gain weight,farts,heartburn,"sometimes eating lunch may cause heartburn
heartburn is painfull","headache doesn't happen due to eating lunch.
bad breath is not painful.
weight gain is not pain full
farts are not painfull.","sometimes eating lunch may cause heartburn and heartburn is painfull.headache doesn't happen due to eating lunch.
         bad breath or weight gain or farts are not painful."
c2e53054e288dcd5d352770fbfe10689,safe,Though they were more safe in the basement the weather still put them what?,precarious,unprotected,in danger,dangerous,at risk,in danger,"Bad Weather may put anyone in danger
In danger word is correctly associated with putting in.","If they are safe in basement, they cant be precarious.
Putting unprotected is not a correct word.
Dangerous is an adjective, so it doesnt suits here.
Weather cant put someone in risk.","Bad Weather may put anyone in danger. In danger word is correctly associated with putting in. If they are safe in basement, they cant be precarious. Putting unprotected is not a correct word. Dangerous is an adjective, so it doesnt suits here. Weather cant put someone in risk."
0365b4d4570733ee1a84e14a96565577,marmoset,"A marmoset is not here, where is it?",wilderness,another place,the zoo,foreign country,venezuela,another place,Another place is the grammatically fit answer of not there,"Wilderness is not exact opposite of not there
The zoo is  not exact opposite of not there
Foreign country not exact opposite of not there
Venezuela not exact opposite of not there",Not there is vague and its answer will also be vague area like another place. All other options are incorrect as they are specific areas.
d41f1ea45ff85fa3e11c9dc1715712ac,bookshelf,Where would you find many a bookshelf?,bedroom,library,book store,furniture store,ocean,library,"Bookshelf is a place where books are arranged
Many books need many bookshelves
Library has many books
Library is a building
Library is a place where books are read or borrowed","Bedroom is not a building
Book store is not a place where books are read or borrowed
Furniture store is not a place that has several books
Ocean is not a place that has several books","Having many books, a library is a building where bools are read or borrowed. The books are arranged in several bookshelves. Bedroom is not a building. Book store is not a place where books are read or borrowed and furniture store and ocean are not places that have several books."
7a9c9eb321065cbdfd21a596fd088483,flute,Where is a flute likely to be in a pit?,party,orchestra,musical instrument store,marching band,symphony,orchestra,Pit orchestra have mostly flute in a pit as it contains many other musical instruments.,"Party doesn't have flute mostly.
Musical instrument store doesn't have pit.
Marching band cannot have flute in pit as they have to keep moving.
Symphony doesn't have flute in pit as all the musician play one instrument only in symphony.","Pit orchestra have mostly flute in a pit as it contains many other musical instruments. Party doesn't have flute mostly.
           Musical instrument store doesn't have pit.Marching band cannot have flute in pit as they have to keep moving. 
           Symphony doesn't have flute in pit as all the musician play one instrument only in symphony."
6cb895ce89995f6be422f7c4167c7638,people,What do people do when networking?,build trust,hurry home,ignore people,believe in god,jump to conclusions,build trust,"Networking means the process of interacting with others to exchange information and develop contacts
Relationships are generally built on mutual trust and respect
People usually try to build trust amongst one another to develop a relationship","People do not hurry home when they are networking
Ignoring people does not help in efficient networking
Believe in god does not require networking
People generally do not jump to conclusions when they are networking",Networking means the process of interacting with others to exchange information and develop professional or social contacts. Relationships are generally built on mutual trust and respect. People usually try to build trust amongst one another to develop a professional or social relationship. People do not hurry home when they are networking. Ignoring people does not help in efficient networking. Believe in god does not require networking. People generally do not jump to conclusions when they are networking.
69e8e5e855a020a883101a9f01e757ee,conductor,Where might a conductor have a hard time seeing ahead due to darkness?,lead orchestra,orchestra,lead play,opera,subway,subway,A conductor might have a hard time seeing ahead due to darkness in a subway as it is devoid of sunlight underground.,"A conductor is the person who directs and leads the orchestra and not a place.
Orchestra is not a place as it is a group of instrumentalists led by a conductor.
A conductor is the person who directs and leads playing of musical instruments by instrumentalists and not a place.
Opera is not a place as it is a drama set to music and made up of vocal pieces with orchestral overtures.",A conductor might have a hard time seeing ahead due to darkness in a subway as it is devoid of sunlight underground. A conductor directs and leads the orchestra and is not a place. Orchestra is not a place as it’s a group of instrumentalists led by a conductor. A conductor directs and leads playing of musical instruments by instrumentalists and not a place. Opera is not a place as it’s a drama set to music and made up of vocal pieces with orchestral overtures.
8bb51c131de25e1d940c1849799c7a8d,ball,What contains a ball to help it work efficiently?,football field,bearing,gymnasium,playground,pool table,bearing,"Bearing means to carry or provide support.
A ball works efficiently when provided support.","Football field is an area to play football.
Football field is not where a ball works.
Gymnasium is a place to do exercises.
Gymnasium is not where a ball works.
Playground is a place to play.
Playground is not where a ball works.
Pool table is where pool is played.
Pool table is not where a ball works.",Bearing means to carry or provide support and a ball works efficiently when provided support. A ball in a bearing works efficiently. A ball does not work in the places from the other options.
35e8bb4f6c3aca9e22ecd4c061f6a905,talking to,What do two people know to be talking to each other effectively?,opening one's mouth,listening,translator,voice,language,language,Two people get to know language by talking effectively to each other.,"They might not be opening one's mouth.
A person dont know listening when talking effectively.
Two people may not know translator while talking to each other.
Two people may not know voice while talking to each other.",Two people get to know language by talking effectively to each other.  They might not be opening one's mouth. A person dont know listening when talking effectively. Two people may not know translator or voice while talking to each other.
