Model Name=qwen, Task=gsm8k, Accuracy=0.9480, N=1000
Model Name=qwen, Task=boolq, Zero Shot Accuracy=0.8360, GPT4 Accuracy=0.8650, N=1000
Model Name=qwen, Task=arc_challenge, Zero Shot Accuracy=0.8930, GPT4 Accuracy=0.8900, N=1000
Model Name=qwen, Task=mmlu_pro_law, Zero Shot Accuracy=0.3214, GPT4 Accuracy=0.2760, N=700
Model Name=qwen, Task=drop, Zero Shot Accuracy=0.0070, GPT4 Accuracy=0.7940, N=1000
Model Name=qwen, Task=hellaswag, Zero Shot Accuracy=0.7060, GPT4 Accuracy=0.7060, N=1000
Model Name=qwen, Task=mmlu_moral_scenarios, Zero Shot Accuracy=0.5683, GPT4 Accuracy=0.6330, N=600
Model Name=qwen, Task=math_geometry, Zero Shot Accuracy=0.5187, GPT4 Accuracy=0.6580, N=507
Model Name=qwen, Task=api_bank, Zero Shot Accuracy=0.1169, GPT4 Accuracy=0.4330, N=907
Model Name=mistral, Task=gsm8k, Zero Shot Accuracy=0.3930, GPT4 Accuracy=0.6250, N=1000
Model Name=mistral, Task=math_algebra, Zero Shot Accuracy=0.1540, GPT4 Accuracy=0.3190, N=1000
Model Name=mistral, Task=mmlu, Zero Shot Accuracy=0.3760, GPT4 Accuracy=0.4220, N=1000
Model Name=mistral, Task=winogrande, Zero Shot Accuracy=0.4490, GPT4 Accuracy=0.7130, N=1000
Model Name=mistral, Task=piqa, Zero Shot Accuracy=0.6920, GPT4 Accuracy=0.8690, N=1000
Model Name=mistral, Task=agieval, Zero Shot Accuracy=0.3348, GPT4 Accuracy=0.4000, N=451
Model Name=mistral, Task=squad, Zero Shot Accuracy=0.0880, GPT4 Accuracy=0.7320, N=1000
Model Name=mistral, Task=ecqa, Zero Shot Accuracy=0.5760, GPT4 Accuracy=0.7000, N=1000
Model Name=mistral, Task=boolq, Zero Shot Accuracy=0.8230, GPT4 Accuracy=0.8670, N=1000
Model Name=mistral, Task=arc_challenge, Zero Shot Accuracy=0.7350, GPT4 Accuracy=0.6110, N=1000
Model Name=mistral, Task=mmlu_pro_law, Zero Shot Accuracy=0.1943, GPT4 Accuracy=0.2290, N=700
Model Name=mistral, Task=drop, Zero Shot Accuracy=0.0060, GPT4 Accuracy=0.7460, N=1000
Model Name=mistral, Task=hellaswag, Zero Shot Accuracy=0.3970, GPT4 Accuracy=0.6540, N=1000
Model Name=mistral, Task=mmlu_moral_scenarios, Zero Shot Accuracy=0.3717, GPT4 Accuracy=0.7130, N=600
Model Name=mistral, Task=math_geometry, Zero Shot Accuracy=0.0513, GPT4 Accuracy=0.1770, N=507
Model Name=mistral, Task=api_bank, Zero Shot Accuracy=0.0176, GPT4 Accuracy=0.5100, N=907
Model Name=llama_3_instruct, Task=gsm8k, Zero Shot Accuracy=0.8580, GPT4 Accuracy=0.8140, N=1000
Model Name=llama_3_instruct, Task=math_algebra, Zero Shot Accuracy=0.5810, GPT4 Accuracy=0.5620, N=1000
Model Name=llama_3_instruct, Task=mmlu, Zero Shot Accuracy=0.4300, GPT4 Accuracy=0.4890, N=1000
Model Name=llama_3_instruct, Task=winogrande, Zero Shot Accuracy=0.6840, GPT4 Accuracy=0.6950, N=1000
Model Name=llama_3_instruct, Task=piqa, Zero Shot Accuracy=0.8110, GPT4 Accuracy=0.8650, N=1000
Model Name=llama_3_instruct, Task=agieval, Zero Shot Accuracy=0.4302, GPT4 Accuracy=0.4350, N=451
Model Name=llama_3_instruct, Task=squad, Zero Shot Accuracy=0.2450, GPT4 Accuracy=0.7520, N=1000
Model Name=llama_3_instruct, Task=ecqa, Zero Shot Accuracy=0.7200, GPT4 Accuracy=0.7230, N=1000
Model Name=llama_3_instruct, Task=boolq, Zero Shot Accuracy=0.7810, GPT4 Accuracy=0.8800, N=1000
Model Name=llama_3_instruct, Task=arc_challenge, Zero Shot Accuracy=0.7940, GPT4 Accuracy=0.8010, N=1000
Model Name=llama_3_instruct, Task=mmlu_pro_law, Zero Shot Accuracy=0.2586, GPT4 Accuracy=0.2760, N=700
Model Name=llama_3_instruct, Task=drop, Zero Shot Accuracy=0.1510, GPT4 Accuracy=0.7960, N=1000
Model Name=llama_3_instruct, Task=hellaswag, Zero Shot Accuracy=0.5680, GPT4 Accuracy=0.7220, N=1000
Model Name=llama_3_instruct, Task=mmlu_moral_scenarios, Zero Shot Accuracy=0.3333, GPT4 Accuracy=0.6770, N=600
Model Name=llama_3_instruct, Task=math_geometry, Zero Shot Accuracy=0.1834, GPT4 Accuracy=0.2780, N=507
Model Name=llama_3_instruct, Task=api_bank, Zero Shot Accuracy=0.0000, GPT4 Accuracy=0.4940, N=907
Model Name=qwen, Task=gsm8k, Zero Shot Accuracy=0.9480, GPT4 Accuracy=0.8890, N=1000
Model Name=qwen, Task=math_algebra, Zero Shot Accuracy=0.9340, GPT4 Accuracy=0.9160, N=1000
Model Name=qwen, Task=mmlu, Zero Shot Accuracy=0.5100, GPT4 Accuracy=0.5090, N=1000
Model Name=qwen, Task=winogrande, Zero Shot Accuracy=0.7270, GPT4 Accuracy=0.7210, N=1000
Model Name=qwen, Task=piqa, Zero Shot Accuracy=0.8600, GPT4 Accuracy=0.8790, N=1000
Model Name=qwen, Task=agieval, Zero Shot Accuracy=0.5721, GPT4 Accuracy=0.5450, N=451
Model Name=qwen, Task=squad, Zero Shot Accuracy=0.6730, GPT4 Accuracy=0.7620, N=1000
Model Name=qwen, Task=ecqa, Zero Shot Accuracy=0.8160, GPT4 Accuracy=0.7930, N=1000
Model Name=qwen, Task=boolq, Zero Shot Accuracy=0.8360, GPT4 Accuracy=0.8650, N=1000
Model Name=qwen, Task=arc_challenge, Zero Shot Accuracy=0.8930, GPT4 Accuracy=0.8900, N=1000
Model Name=qwen, Task=mmlu_pro_law, Zero Shot Accuracy=0.3214, GPT4 Accuracy=0.2760, N=700
Model Name=qwen, Task=drop, Zero Shot Accuracy=0.0070, GPT4 Accuracy=0.7940, N=1000
Model Name=qwen, Task=hellaswag, Zero Shot Accuracy=0.7060, GPT4 Accuracy=0.7060, N=1000
Model Name=qwen, Task=mmlu_moral_scenarios, Zero Shot Accuracy=0.5683, GPT4 Accuracy=0.6330, N=600
Model Name=qwen, Task=math_geometry, Zero Shot Accuracy=0.5187, GPT4 Accuracy=0.6580, N=507
Model Name=qwen, Task=api_bank, Zero Shot Accuracy=0.1169, GPT4 Accuracy=0.4330, N=907
Model Name=mistral, Task=gsm8k, Zero Shot Accuracy=0.3930, GPT4 Accuracy=0.6250, N=1000
Model Name=mistral, Task=math_algebra, Zero Shot Accuracy=0.1540, GPT4 Accuracy=0.3190, N=1000
Model Name=mistral, Task=mmlu, Zero Shot Accuracy=0.3760, GPT4 Accuracy=0.4220, N=1000
Model Name=mistral, Task=winogrande, Zero Shot Accuracy=0.4490, GPT4 Accuracy=0.7130, N=1000
Model Name=mistral, Task=piqa, Zero Shot Accuracy=0.6920, GPT4 Accuracy=0.8690, N=1000
Model Name=mistral, Task=agieval, Zero Shot Accuracy=0.3348, GPT4 Accuracy=0.4000, N=451
Model Name=mistral, Task=squad, Zero Shot Accuracy=0.0880, GPT4 Accuracy=0.7320, N=1000
Model Name=mistral, Task=ecqa, Zero Shot Accuracy=0.5760, GPT4 Accuracy=0.7000, N=1000
Model Name=mistral, Task=boolq, Zero Shot Accuracy=0.8230, GPT4 Accuracy=0.8670, N=1000
Model Name=mistral, Task=arc_challenge, Zero Shot Accuracy=0.7350, GPT4 Accuracy=0.6110, N=1000
Model Name=mistral, Task=mmlu_pro_law, Zero Shot Accuracy=0.1943, GPT4 Accuracy=0.2290, N=700
Model Name=mistral, Task=drop, Zero Shot Accuracy=0.0060, GPT4 Accuracy=0.7460, N=1000
Model Name=mistral, Task=hellaswag, Zero Shot Accuracy=0.3970, GPT4 Accuracy=0.6540, N=1000
Model Name=mistral, Task=mmlu_moral_scenarios, Zero Shot Accuracy=0.3717, GPT4 Accuracy=0.7130, N=600
Model Name=mistral, Task=math_geometry, Zero Shot Accuracy=0.0513, GPT4 Accuracy=0.1770, N=507
Model Name=mistral, Task=api_bank, Zero Shot Accuracy=0.0176, GPT4 Accuracy=0.5100, N=907
Model Name=llama_3_instruct, Task=gsm8k, Zero Shot Accuracy=0.8580, GPT4 Accuracy=0.8140, N=1000
Model Name=llama_3_instruct, Task=math_algebra, Zero Shot Accuracy=0.5810, GPT4 Accuracy=0.5620, N=1000
Model Name=llama_3_instruct, Task=mmlu, Zero Shot Accuracy=0.4300, GPT4 Accuracy=0.4890, N=1000
Model Name=llama_3_instruct, Task=winogrande, Zero Shot Accuracy=0.6840, GPT4 Accuracy=0.6950, N=1000
Model Name=llama_3_instruct, Task=piqa, Zero Shot Accuracy=0.8110, GPT4 Accuracy=0.8650, N=1000
Model Name=llama_3_instruct, Task=agieval, Zero Shot Accuracy=0.4302, GPT4 Accuracy=0.4350, N=451
Model Name=llama_3_instruct, Task=squad, Zero Shot Accuracy=0.2450, GPT4 Accuracy=0.7520, N=1000
Model Name=llama_3_instruct, Task=ecqa, Zero Shot Accuracy=0.7200, GPT4 Accuracy=0.7230, N=1000
Model Name=llama_3_instruct, Task=boolq, Zero Shot Accuracy=0.7810, GPT4 Accuracy=0.8800, N=1000
Model Name=llama_3_instruct, Task=arc_challenge, Zero Shot Accuracy=0.7940, GPT4 Accuracy=0.8010, N=1000
Model Name=llama_3_instruct, Task=mmlu_pro_law, Zero Shot Accuracy=0.2586, GPT4 Accuracy=0.2760, N=700
Model Name=llama_3_instruct, Task=drop, Zero Shot Accuracy=0.1510, GPT4 Accuracy=0.7960, N=1000
Model Name=llama_3_instruct, Task=hellaswag, Zero Shot Accuracy=0.5680, GPT4 Accuracy=0.7220, N=1000
Model Name=llama_3_instruct, Task=mmlu_moral_scenarios, Zero Shot Accuracy=0.3333, GPT4 Accuracy=0.6770, N=600
Model Name=llama_3_instruct, Task=math_geometry, Zero Shot Accuracy=0.1834, GPT4 Accuracy=0.2780, N=507
Model Name=llama_3_instruct, Task=api_bank, Zero Shot Accuracy=0.0000, GPT4 Accuracy=0.4940, N=907
Model Name=qwen, Task=gsm8k, Zero Shot Accuracy=0.9480, GPT4 Accuracy=0.8890, N=1000
Model Name=qwen, Task=math_algebra, Zero Shot Accuracy=0.9340, GPT4 Accuracy=0.9160, N=1000
Model Name=qwen, Task=mmlu, Zero Shot Accuracy=0.5100, GPT4 Accuracy=0.5090, N=1000
Model Name=qwen, Task=winogrande, Zero Shot Accuracy=0.7270, GPT4 Accuracy=0.7210, N=1000
Model Name=qwen, Task=piqa, Zero Shot Accuracy=0.8600, GPT4 Accuracy=0.8790, N=1000
Model Name=qwen, Task=agieval, Zero Shot Accuracy=0.5721, GPT4 Accuracy=0.5450, N=451
Model Name=qwen, Task=squad, Zero Shot Accuracy=0.6730, GPT4 Accuracy=0.7620, N=1000
Model Name=qwen, Task=ecqa, Zero Shot Accuracy=0.8160, GPT4 Accuracy=0.7930, N=1000
Model Name=qwen, Task=boolq, Zero Shot Accuracy=0.8360, GPT4 Accuracy=0.8650, N=1000
Model Name=qwen, Task=arc_challenge, Zero Shot Accuracy=0.8930, GPT4 Accuracy=0.8900, N=1000
Model Name=qwen, Task=mmlu_pro_law, Zero Shot Accuracy=0.3214, GPT4 Accuracy=0.2760, N=700
Model Name=qwen, Task=drop, Zero Shot Accuracy=0.0070, GPT4 Accuracy=0.7940, N=1000
Model Name=qwen, Task=hellaswag, Zero Shot Accuracy=0.7060, GPT4 Accuracy=0.7060, N=1000
Model Name=qwen, Task=mmlu_moral_scenarios, Zero Shot Accuracy=0.5683, GPT4 Accuracy=0.6330, N=600
Model Name=qwen, Task=math_geometry, Zero Shot Accuracy=0.5187, GPT4 Accuracy=0.6580, N=507
Model Name=qwen, Task=api_bank, Zero Shot Accuracy=0.1169, GPT4 Accuracy=0.4330, N=907
Model Name=mistral, Task=gsm8k, Zero Shot Accuracy=0.3930, GPT4 Accuracy=0.6250, N=1000
Model Name=mistral, Task=math_algebra, Zero Shot Accuracy=0.1540, GPT4 Accuracy=0.3190, N=1000
Model Name=mistral, Task=mmlu, Zero Shot Accuracy=0.3760, GPT4 Accuracy=0.4220, N=1000
Model Name=mistral, Task=winogrande, Zero Shot Accuracy=0.4490, GPT4 Accuracy=0.7130, N=1000
Model Name=mistral, Task=piqa, Zero Shot Accuracy=0.6920, GPT4 Accuracy=0.8690, N=1000
Model Name=mistral, Task=agieval, Zero Shot Accuracy=0.3348, GPT4 Accuracy=0.4000, N=451
Model Name=mistral, Task=squad, Zero Shot Accuracy=0.0880, GPT4 Accuracy=0.7320, N=1000
Model Name=mistral, Task=ecqa, Zero Shot Accuracy=0.5760, GPT4 Accuracy=0.7000, N=1000
Model Name=mistral, Task=boolq, Zero Shot Accuracy=0.8230, GPT4 Accuracy=0.8670, N=1000
Model Name=mistral, Task=arc_challenge, Zero Shot Accuracy=0.7350, GPT4 Accuracy=0.6110, N=1000
Model Name=mistral, Task=mmlu_pro_law, Zero Shot Accuracy=0.1943, GPT4 Accuracy=0.2290, N=700
Model Name=mistral, Task=drop, Zero Shot Accuracy=0.0060, GPT4 Accuracy=0.7460, N=1000
Model Name=mistral, Task=hellaswag, Zero Shot Accuracy=0.3970, GPT4 Accuracy=0.6540, N=1000
Model Name=mistral, Task=mmlu_moral_scenarios, Zero Shot Accuracy=0.3717, GPT4 Accuracy=0.7130, N=600
Model Name=mistral, Task=math_geometry, Zero Shot Accuracy=0.0513, GPT4 Accuracy=0.1770, N=507
Model Name=mistral, Task=api_bank, Zero Shot Accuracy=0.0176, GPT4 Accuracy=0.5100, N=907
Model Name=llama_3_instruct, Task=gsm8k, Zero Shot Accuracy=0.8580, GPT4 Accuracy=0.8140, N=1000
Model Name=llama_3_instruct, Task=math_algebra, Zero Shot Accuracy=0.5810, GPT4 Accuracy=0.5620, N=1000
Model Name=llama_3_instruct, Task=mmlu, Zero Shot Accuracy=0.4300, GPT4 Accuracy=0.4890, N=1000
Model Name=llama_3_instruct, Task=winogrande, Zero Shot Accuracy=0.6840, GPT4 Accuracy=0.6950, N=1000
Model Name=llama_3_instruct, Task=piqa, Zero Shot Accuracy=0.8110, GPT4 Accuracy=0.8650, N=1000
Model Name=llama_3_instruct, Task=agieval, Zero Shot Accuracy=0.4302, GPT4 Accuracy=0.4350, N=451
Model Name=llama_3_instruct, Task=squad, Zero Shot Accuracy=0.2450, GPT4 Accuracy=0.7520, N=1000
Model Name=llama_3_instruct, Task=ecqa, Zero Shot Accuracy=0.7200, GPT4 Accuracy=0.7230, N=1000
Model Name=llama_3_instruct, Task=boolq, Zero Shot Accuracy=0.7810, GPT4 Accuracy=0.8800, N=1000
Model Name=llama_3_instruct, Task=arc_challenge, Zero Shot Accuracy=0.7940, GPT4 Accuracy=0.8010, N=1000
Model Name=llama_3_instruct, Task=mmlu_pro_law, Zero Shot Accuracy=0.2586, GPT4 Accuracy=0.2760, N=700
Model Name=llama_3_instruct, Task=drop, Zero Shot Accuracy=0.1510, GPT4 Accuracy=0.7960, N=1000
Model Name=llama_3_instruct, Task=hellaswag, Zero Shot Accuracy=0.5680, GPT4 Accuracy=0.7220, N=1000
Model Name=llama_3_instruct, Task=mmlu_moral_scenarios, Zero Shot Accuracy=0.3333, GPT4 Accuracy=0.6770, N=600
Model Name=llama_3_instruct, Task=math_geometry, Zero Shot Accuracy=0.1834, GPT4 Accuracy=0.2780, N=507
Model Name=llama_3_instruct, Task=api_bank, Zero Shot Accuracy=0.0000, GPT4 Accuracy=0.4940, N=907
Model Name=qwen, Task=gsm8k, Zero Shot Accuracy=0.9480, GPT4 Accuracy=0.8890, N=1000
Model Name=qwen, Task=math_algebra, Zero Shot Accuracy=0.9340, GPT4 Accuracy=0.9160, N=1000
Model Name=qwen, Task=mmlu, Zero Shot Accuracy=0.5100, GPT4 Accuracy=0.5090, N=1000
Model Name=qwen, Task=winogrande, Zero Shot Accuracy=0.7270, GPT4 Accuracy=0.7210, N=1000
Model Name=qwen, Task=piqa, Zero Shot Accuracy=0.8600, GPT4 Accuracy=0.8790, N=1000
Model Name=qwen, Task=agieval, Zero Shot Accuracy=0.5721, GPT4 Accuracy=0.5450, N=451
Model Name=qwen, Task=squad, Zero Shot Accuracy=0.6730, GPT4 Accuracy=0.7620, N=1000
Model Name=qwen, Task=ecqa, Zero Shot Accuracy=0.8160, GPT4 Accuracy=0.7930, N=1000
Model Name=qwen, Task=boolq, Zero Shot Accuracy=0.8360, GPT4 Accuracy=0.8650, N=1000
Model Name=qwen, Task=arc_challenge, Zero Shot Accuracy=0.8930, GPT4 Accuracy=0.8900, N=1000
Model Name=qwen, Task=mmlu_pro_law, Zero Shot Accuracy=0.3214, GPT4 Accuracy=0.2760, N=700
Model Name=qwen, Task=drop, Zero Shot Accuracy=0.0070, GPT4 Accuracy=0.7940, N=1000
Model Name=qwen, Task=hellaswag, Zero Shot Accuracy=0.7060, GPT4 Accuracy=0.7060, N=1000
Model Name=qwen, Task=mmlu_moral_scenarios, Zero Shot Accuracy=0.5683, GPT4 Accuracy=0.6330, N=600
Model Name=qwen, Task=math_geometry, Zero Shot Accuracy=0.5187, GPT4 Accuracy=0.6580, N=507
Model Name=qwen, Task=api_bank, Zero Shot Accuracy=0.1169, GPT4 Accuracy=0.4330, N=907
Model Name=mistral, Task=gsm8k, Zero Shot Accuracy=0.3930, GPT4 Accuracy=0.6250, N=1000
Model Name=mistral, Task=math_algebra, Zero Shot Accuracy=0.1540, GPT4 Accuracy=0.3190, N=1000
Model Name=mistral, Task=mmlu, Zero Shot Accuracy=0.3760, GPT4 Accuracy=0.4220, N=1000
Model Name=mistral, Task=winogrande, Zero Shot Accuracy=0.4490, GPT4 Accuracy=0.7130, N=1000
Model Name=mistral, Task=piqa, Zero Shot Accuracy=0.6920, GPT4 Accuracy=0.8690, N=1000
Model Name=mistral, Task=agieval, Zero Shot Accuracy=0.3348, GPT4 Accuracy=0.4000, N=451
Model Name=mistral, Task=squad, Zero Shot Accuracy=0.0880, GPT4 Accuracy=0.7320, N=1000
Model Name=mistral, Task=ecqa, Zero Shot Accuracy=0.5760, GPT4 Accuracy=0.7000, N=1000
Model Name=mistral, Task=boolq, Zero Shot Accuracy=0.8230, GPT4 Accuracy=0.8670, N=1000
Model Name=mistral, Task=arc_challenge, Zero Shot Accuracy=0.7350, GPT4 Accuracy=0.6110, N=1000
Model Name=mistral, Task=mmlu_pro_law, Zero Shot Accuracy=0.1943, GPT4 Accuracy=0.2290, N=700
Model Name=mistral, Task=drop, Zero Shot Accuracy=0.0060, GPT4 Accuracy=0.7460, N=1000
Model Name=mistral, Task=hellaswag, Zero Shot Accuracy=0.3970, GPT4 Accuracy=0.6540, N=1000
Model Name=mistral, Task=mmlu_moral_scenarios, Zero Shot Accuracy=0.3717, GPT4 Accuracy=0.7130, N=600
Model Name=mistral, Task=math_geometry, Zero Shot Accuracy=0.0513, GPT4 Accuracy=0.1770, N=507
Model Name=mistral, Task=api_bank, Zero Shot Accuracy=0.0176, GPT4 Accuracy=0.5100, N=907
Model Name=llama_3_instruct, Task=gsm8k, Zero Shot Accuracy=0.8580, GPT4 Accuracy=0.8140, N=1000
Model Name=llama_3_instruct, Task=math_algebra, Zero Shot Accuracy=0.5810, GPT4 Accuracy=0.5620, N=1000
Model Name=llama_3_instruct, Task=mmlu, Zero Shot Accuracy=0.4300, GPT4 Accuracy=0.4890, N=1000
Model Name=llama_3_instruct, Task=winogrande, Zero Shot Accuracy=0.6840, GPT4 Accuracy=0.6950, N=1000
Model Name=llama_3_instruct, Task=piqa, Zero Shot Accuracy=0.8110, GPT4 Accuracy=0.8650, N=1000
Model Name=llama_3_instruct, Task=agieval, Zero Shot Accuracy=0.4302, GPT4 Accuracy=0.4350, N=451
Model Name=llama_3_instruct, Task=squad, Zero Shot Accuracy=0.2450, GPT4 Accuracy=0.7520, N=1000
Model Name=llama_3_instruct, Task=ecqa, Zero Shot Accuracy=0.7200, GPT4 Accuracy=0.7230, N=1000
Model Name=llama_3_instruct, Task=boolq, Zero Shot Accuracy=0.7810, GPT4 Accuracy=0.8800, N=1000
Model Name=llama_3_instruct, Task=arc_challenge, Zero Shot Accuracy=0.7940, GPT4 Accuracy=0.8010, N=1000
Model Name=llama_3_instruct, Task=mmlu_pro_law, Zero Shot Accuracy=0.2586, GPT4 Accuracy=0.2760, N=700
Model Name=llama_3_instruct, Task=drop, Zero Shot Accuracy=0.1510, GPT4 Accuracy=0.7960, N=1000
Model Name=llama_3_instruct, Task=hellaswag, Zero Shot Accuracy=0.5680, GPT4 Accuracy=0.7220, N=1000
Model Name=llama_3_instruct, Task=mmlu_moral_scenarios, Zero Shot Accuracy=0.3333, GPT4 Accuracy=0.6770, N=600
Model Name=llama_3_instruct, Task=math_geometry, Zero Shot Accuracy=0.1834, GPT4 Accuracy=0.2780, N=507
Model Name=llama_3_instruct, Task=api_bank, Zero Shot Accuracy=0.0000, GPT4 Accuracy=0.4940, N=907
Model Name=qwen, Task=gsm8k, Zero Shot Accuracy=0.9480, GPT4 Accuracy=0.8890, N=1000
Model Name=qwen, Task=math_algebra, Zero Shot Accuracy=0.9340, GPT4 Accuracy=0.9160, N=1000
Model Name=qwen, Task=mmlu, Zero Shot Accuracy=0.5100, GPT4 Accuracy=0.5090, N=1000
Model Name=qwen, Task=winogrande, Zero Shot Accuracy=0.7270, GPT4 Accuracy=0.7210, N=1000
Model Name=qwen, Task=piqa, Zero Shot Accuracy=0.8600, GPT4 Accuracy=0.8790, N=1000
Model Name=qwen, Task=agieval, Zero Shot Accuracy=0.5721, GPT4 Accuracy=0.5450, N=451
Model Name=qwen, Task=squad, Zero Shot Accuracy=0.6730, GPT4 Accuracy=0.7620, N=1000
Model Name=qwen, Task=ecqa, Zero Shot Accuracy=0.8160, GPT4 Accuracy=0.7930, N=1000
Model Name=qwen, Task=boolq, Zero Shot Accuracy=0.8360, GPT4 Accuracy=0.8650, N=1000
Model Name=qwen, Task=arc_challenge, Zero Shot Accuracy=0.8930, GPT4 Accuracy=0.8900, N=1000
Model Name=qwen, Task=mmlu_pro_law, Zero Shot Accuracy=0.3214, GPT4 Accuracy=0.2760, N=700
Model Name=qwen, Task=drop, Zero Shot Accuracy=0.0070, GPT4 Accuracy=0.7940, N=1000
Model Name=qwen, Task=hellaswag, Zero Shot Accuracy=0.7060, GPT4 Accuracy=0.7060, N=1000
Model Name=qwen, Task=mmlu_moral_scenarios, Zero Shot Accuracy=0.5683, GPT4 Accuracy=0.6330, N=600
Model Name=qwen, Task=math_geometry, Zero Shot Accuracy=0.5187, GPT4 Accuracy=0.6580, N=507
Model Name=qwen, Task=api_bank, Zero Shot Accuracy=0.1169, GPT4 Accuracy=0.4330, N=907
Model Name=mistral, Task=gsm8k, Zero Shot Accuracy=0.3930, GPT4 Accuracy=0.6250, N=1000
Model Name=mistral, Task=math_algebra, Zero Shot Accuracy=0.1540, GPT4 Accuracy=0.3190, N=1000
Model Name=mistral, Task=mmlu, Zero Shot Accuracy=0.3760, GPT4 Accuracy=0.4220, N=1000
Model Name=mistral, Task=winogrande, Zero Shot Accuracy=0.4490, GPT4 Accuracy=0.7130, N=1000
Model Name=mistral, Task=piqa, Zero Shot Accuracy=0.6920, GPT4 Accuracy=0.8690, N=1000
Model Name=mistral, Task=agieval, Zero Shot Accuracy=0.3348, GPT4 Accuracy=0.4000, N=451
Model Name=mistral, Task=squad, Zero Shot Accuracy=0.0880, GPT4 Accuracy=0.7320, N=1000
Model Name=mistral, Task=ecqa, Zero Shot Accuracy=0.5760, GPT4 Accuracy=0.7000, N=1000
Model Name=mistral, Task=boolq, Zero Shot Accuracy=0.8230, GPT4 Accuracy=0.8670, N=1000
Model Name=mistral, Task=arc_challenge, Zero Shot Accuracy=0.7350, GPT4 Accuracy=0.6110, N=1000
Model Name=mistral, Task=mmlu_pro_law, Zero Shot Accuracy=0.1943, GPT4 Accuracy=0.2290, N=700
Model Name=mistral, Task=drop, Zero Shot Accuracy=0.0060, GPT4 Accuracy=0.7460, N=1000
Model Name=mistral, Task=hellaswag, Zero Shot Accuracy=0.3970, GPT4 Accuracy=0.6540, N=1000
Model Name=mistral, Task=mmlu_moral_scenarios, Zero Shot Accuracy=0.3717, GPT4 Accuracy=0.7130, N=600
Model Name=mistral, Task=math_geometry, Zero Shot Accuracy=0.0513, GPT4 Accuracy=0.1770, N=507
Model Name=mistral, Task=api_bank, Zero Shot Accuracy=0.0176, GPT4 Accuracy=0.5100, N=907
Model Name=llama_3_instruct, Task=gsm8k, Zero Shot Accuracy=0.8580, GPT4 Accuracy=0.8140, N=1000
Model Name=llama_3_instruct, Task=math_algebra, Zero Shot Accuracy=0.5810, GPT4 Accuracy=0.5620, N=1000
Model Name=llama_3_instruct, Task=mmlu, Zero Shot Accuracy=0.4300, GPT4 Accuracy=0.4890, N=1000
Model Name=llama_3_instruct, Task=winogrande, Zero Shot Accuracy=0.6840, GPT4 Accuracy=0.6950, N=1000
Model Name=llama_3_instruct, Task=piqa, Zero Shot Accuracy=0.8110, GPT4 Accuracy=0.8650, N=1000
Model Name=llama_3_instruct, Task=agieval, Zero Shot Accuracy=0.4302, GPT4 Accuracy=0.4350, N=451
Model Name=llama_3_instruct, Task=squad, Zero Shot Accuracy=0.2450, GPT4 Accuracy=0.7520, N=1000
Model Name=llama_3_instruct, Task=ecqa, Zero Shot Accuracy=0.7200, GPT4 Accuracy=0.7230, N=1000
Model Name=llama_3_instruct, Task=boolq, Zero Shot Accuracy=0.7810, GPT4 Accuracy=0.8800, N=1000
Model Name=llama_3_instruct, Task=arc_challenge, Zero Shot Accuracy=0.7940, GPT4 Accuracy=0.8010, N=1000
Model Name=llama_3_instruct, Task=mmlu_pro_law, Zero Shot Accuracy=0.2586, GPT4 Accuracy=0.2760, N=700
Model Name=llama_3_instruct, Task=drop, Zero Shot Accuracy=0.1510, GPT4 Accuracy=0.7960, N=1000
Model Name=llama_3_instruct, Task=hellaswag, Zero Shot Accuracy=0.5680, GPT4 Accuracy=0.7220, N=1000
Model Name=llama_3_instruct, Task=mmlu_moral_scenarios, Zero Shot Accuracy=0.3333, GPT4 Accuracy=0.6770, N=600
Model Name=llama_3_instruct, Task=math_geometry, Zero Shot Accuracy=0.1834, GPT4 Accuracy=0.2780, N=507
Model Name=llama_3_instruct, Task=api_bank, Zero Shot Accuracy=0.0000, GPT4 Accuracy=0.4940, N=907
Model Name=qwen, Task=gsm8k, Zero Shot Accuracy=0.9480, GPT4 Accuracy=0.8890, N=1000
Model Name=qwen, Task=math_algebra, Zero Shot Accuracy=0.9340, GPT4 Accuracy=0.9160, N=1000
Model Name=qwen, Task=mmlu, Zero Shot Accuracy=0.5100, GPT4 Accuracy=0.5090, N=1000
Model Name=qwen, Task=winogrande, Zero Shot Accuracy=0.7270, GPT4 Accuracy=0.7210, N=1000
Model Name=qwen, Task=piqa, Zero Shot Accuracy=0.8600, GPT4 Accuracy=0.8790, N=1000
Model Name=qwen, Task=agieval, Zero Shot Accuracy=0.5721, GPT4 Accuracy=0.5450, N=451
Model Name=qwen, Task=squad, Zero Shot Accuracy=0.6730, GPT4 Accuracy=0.7620, N=1000
Model Name=qwen, Task=ecqa, Zero Shot Accuracy=0.8160, GPT4 Accuracy=0.7930, N=1000
Model Name=qwen, Task=boolq, Zero Shot Accuracy=0.8360, GPT4 Accuracy=0.8650, N=1000
Model Name=qwen, Task=arc_challenge, Zero Shot Accuracy=0.8930, GPT4 Accuracy=0.8900, N=1000
Model Name=qwen, Task=mmlu_pro_law, Zero Shot Accuracy=0.3214, GPT4 Accuracy=0.2760, N=700
Model Name=qwen, Task=drop, Zero Shot Accuracy=0.0070, GPT4 Accuracy=0.7940, N=1000
