sentence,option1,option2,answer
"The chef thinks it's more healthy to eat apples than beets, so he likes putting the _ in his smoothies.",apples,beets,1
"Jennifer was at risk of encountering a shark during their swim, but Emily was not, because _ swam in the ocean.",Jennifer,Emily,1
"Jennifer was at risk of encountering a shark during their swim, but Emily was not, because _ swam in the lake.",Jennifer,Emily,2
The documents contained in the files could not fit properly. The _ were too small.,Files,Documents,1
The documents contained in the files could not fit properly. The _ were too large.,Files,Documents,2
"Avid bookworms, Lawrence read fiction while Jason read non-fiction. _ liked to escape into an imaginary world.",Lawrence,Jason,1
"Avid bookworms, Lawrence read fiction while Jason read non-fiction. _ struggled to escape into an imaginary world.",Lawrence,Jason,2
Mary only wore stripes to work and not plaids because the _ made her look sloppy.,plaids,stripes,1
Mary only wore stripes to work and not plaids because the _ made her look professional.,plaids,stripes,2
The bumper on the car shone brighter than the handle on the car because the _ was dirtier.,bumper,handle,2
The bumper on the car shone brighter than the handle on the car because the _ was cleaner.,bumper,handle,1
"Ian is making a pool party for Neil and needs to raise pH in a pool, so _ could safely enjoy party.",Ian,Neil,2
"Ian is making a pool party for Neil and needs to raise pH in a pool, so _ buys pH raising preparates.",Ian,Neil,1
"While Billie brought a pencil, I brought a pen to the realtor’s office. I gave Billie my pen and she gladly used the _ to sign the document.",pencil,pen,2
"While Billie brought a pencil, I brought a pen to the realtor’s office. I gave Billie my pen but she stubbornly used  the _ to sign the document.",pencil,pen,1
No one was able to enjoy the story and we started to listen to the music. The _ is boring.,story,music,1
No one was able to enjoy the story and we started to listen to the music. The _ is interesting.,story,music,2
The teeth of Katrina are more yellow than Laura's due to _ drinking mostly water all the time.,Katrina,Laura,2
The teeth of Katrina are more yellow than Laura's due to _ drinking mostly coffee all the time.,Katrina,Laura,1
It was necessary to hit the iron with the sledgehammer after the _ got heated.,iron,sledgehammer,1
It was necessary to hit the iron with the sledgehammer before the _ got heated.,iron,sledgehammer,2
"Kevin didn't consider the costs when they bought the house from Derrick, so _ was rid of the money pit.",Kevin,Derrick,2
"Kevin didn't consider the costs when they bought the house from Derrick, so _ was stuck with the money pit.",Kevin,Derrick,1
Robert helped create an internet viral video sensation of Kyle when _ danced in video.,Robert,Kyle,2
Robert helped create an internet viral video sensation of Kyle when _ directed the video.,Robert,Kyle,1
"Rebecca invited Maria to a concert, then _ had to get permission to attend from their parents.",Rebecca,Maria,2
"Rebecca was invited to a concert by Maria, then _ had to get permission to attend from their parents.",Rebecca,Maria,1
Betty was able to hold the pigeon longer than Angela because _ is scared of birds.,Betty,Angela,2
Betty was able to hold the pigeon longer than Angela because _ wasn't scared of birds.,Betty,Angela,1
"Nick gets jock itch a lot, while Jason has never even worn a jock strap. _ is the artist.",Nick,Jason,2
"Nick gets jock itch a lot, while Jason has never even worn a jock strap. _ is the athlete.",Nick,Jason,1
"The theraband that Jill purchased for herself would not fit around her leg, the _ was too wide.",theraband,leg,2
"The theraband that Jill purchased for herself would not fit around her leg, the _ was too narrow.",theraband,leg,1
James could not get the bag closed because of the clothe in it. The _ is small.,cloth,bag,2
James could not get the bag closed because of the clothe in it. The _ is plenty.,cloth,bag,1
"Michelle made her biscuits with shortening and no butter at all, because she thought the _ made them taste lighter.",butter,shortening,2
"Michelle made her biscuits with shortening and no butter at all, because she thought the _ made them too heavy.",butter,shortening,1
"Dennis has been away on vacation, while Nelson stayed home so the lettuce in _ 's fridge was rotten.",Dennis,Nelson,1
"Dennis has been away on vacation, while Nelson stayed at home so the lettuce in _ 's fridge was used to make a salad.",Dennis,Nelson,2
"Jen put her derma roller into the water, so that the cleaner could sterilize it with the _ .",derma roller,water,2
"Jen put her derma roller into the water, so that the cleaner could sterilize the _ .",derma roller,water,1
The case James used to carry the file still got more space in it. I wonder why he chose the _ that is small.,case,file,2
The case James used to carry the file still got more space in it. I wonder why he chose the _ that is big.,case,file,1
Learning to play a glockenspiel was instinctual for Derrick but not Adam because _ is arty.,Derrick,Adam,1
Learning to play a glockenspiel was instinctual for Derrick but not Adam because _ is unmusical.,Derrick,Adam,2
My knee joint is less injured than my ankle joint so I'm trying not to put too much stress on the _ if I can help it.,knee joint,ankle joint,2
My knee joint is more injured than my ankle joint so I'm trying not to put too much stress on the _ if I can help it.,knee joint,ankle joint,1
"Donald didn't like to keep clean the way Matthew did, so _ tended to smell nice.",Donald,Matthew,2
"Donald didn't like to keep clean the way Matthew did, so _ tended to smell nasty.",Donald,Matthew,1
"The man realized he had gotten the lens for his glasses instead of his camera, the _ lens was much thicker.",camera,glasses,1
"The man realized he had gotten the lens for his glasses instead of his camera, the _ lens was much thinner.",camera,glasses,2
"Sunday afternoon Laura made some buttermilk biscuits for Victoria, and _ made quick work of making them.",Laura,Victoria,1
"Sunday afternoon Laura made some buttermilk biscuits for Victoria, and _ made quick work of eating them.",Laura,Victoria,2
To cope with her problems the teenager wrote in the journal and not the diary since the _ 's pages were bigger.,journal,diary,1
To cope with her problems the teenager wrote in the journal and not the diary since the _ 's pages were smaller.,journal,diary,2
Bob tore his shirt that was a night shirt. He decided to get a tuxedo shirt because the _ is new.,night shirt,tuxedo shirt,2
Bob tore his shirt that was a night shirt. He decided to get a tuxedo shirt because the _ is old.,night shirt,tuxedo shirt,1
Hunter was suicidal and Robert responded for the reason that _ had never been in this critical situation.,Hunter,Robert,1
Hunter was suicidal and Robert responded for the reason that _ had previously been in this critical situation.,Hunter,Robert,2
"Rachel included Tanya in her YouTube video, but _ was furious because she had failed to obtain permission.",Rachel,Tanya,2
"Rachel included Tanya in her YouTube video, but _ was sorry because she had failed to obtain permission.",Rachel,Tanya,1
A conductor on the train Felicia has been for years today Elena will present them with a award _ is being honored.,Felicia,Elena,1
"A conductor on the train Felicia has been for years today Elena will present them with a award, _ is honored to be presenting..",Felicia,Elena,2
"The police could escort the prisoner to the gate but not to the cell, as entry to _ was permitted .",gate,cell,1
"The police could escort the prisoner to the gate but not to the cell, as entry to _ was forbidden .",gate,cell,2
"When Brenda coated her wood panels with varnish, the concrete surface beneath got stained. The varnish protected and beautified the _ .",wood,concrete,1
"When Brenda coated her wood panels with varnish, the concrete surface beneath got stained. The varnish harmed and uglified the _ .",wood,concrete,2
John was eager to put his fish in the new fish tank on a table but the _ was too delicate.,table,tank,1
John was eager to put his fish in the new fish tank on a table but the _ was too heavy.,table,tank,2
"The tea was hurting Ben's teeth, though the coffee was not because the _ was loaded with sugar.",tea,coffee,1
"The tea was hurting Ben's teeth, though the coffee was not because the _ was lacking any sugar.",tea,coffee,2
"He preferred to clean with the soap instead of the body wash, because the _ left him feeling itchy.",body wash,soap,1
"He preferred to clean with the soap instead of the body wash, because the _ left him feeling refreshed.",body wash,soap,2
"Katrina loaned their jacket to Carrie during the cold night, although _ was feeling cold themselves.",Katrina,Carrie,1
"Katrina loaned their jacket to Carrie during the cold night, because _ was feeling cold.",Katrina,Carrie,2
Adam had to schedule a visit a dermatologist but Joseph didn't because _ had bad skin.,Adam,Joseph,1
Adam had to schedule a visit a dermatologist but Joseph didn't because _ had good skin.,Adam,Joseph,2
Nancy preferred to eat popcorn rather than candy at the movies because the _ is sweet.,popcorn,candy,2
Nancy preferred to eat popcorn rather than candy at the movies because the _ is salty.,popcorn,candy,1
"The project meant Emily collaborated with Victoria, who was not excited. _ hated working with others.",Emily,Victoria,2
"The project meant Emily collaborated with Victoria, who was not excited. _ loved working with others.",Emily,Victoria,1
"While Maria rode the bus to work, Megan rode a motorcycle because _ had an unexpired license.",Maria,Megan,2
"While Maria rode the bus to work, Megan rode a motorcycle because _ had an expired license.",Maria,Megan,1
Steven only had one ear but Jeffrey had two. This meant that _ was very lopsided.,Steven,Jeffrey,1
Steven only had one ear but Jeffrey had two. This meant that _ was very symmetrical.,Steven,Jeffrey,2
Kevin repaired the wooden  furniture for Kyle last week since _ was an expert carpenter.,Kevin,Kyle,2
Kevin repaired the wooden furniture for Kyle last week since _ needed an expert carpenter.,Kevin,Kyle,1
Eric thought the clothes looked very nice but Kevin did not agree. _ didn't buy the clothes.,Eric,Kevin,2
Eric thought the clothes looked very nice but Kevin did not agree. _ bought the clothes.,Eric,Kevin,1
"Jessica often experiences severe nausea, Victoria does not therefore _ does not ride roller coasters.",Jessica,Victoria,1
"Jessica often experiences severe nausea, Victoria does not therefore _ often rides big roller coasters.",Jessica,Victoria,2
"The system that Jeffrey used was amazing compared to Randy, because _ system was lower end.",Jeffrey,Randy,2
"The system that Jeffrey used was amazing compared to Randy, because _ system was higher end.",Jeffrey,Randy,1
It took Jerry longer to shampoo his hair than his beard although the _ was bushy.,hair,beard,2
It took Jerry longer to shampoo his hair than his beard although the _ was shaved short.,hair,beard,1
"Have you ever been on  a nature walk Samantha asked Tanya , _ is giving a reply to a question.",Samantha,Tanya,2
"Have you ever been on  a nature walk Samantha asked Tanya , _ is waiting for a reply to a question.",Samantha,Tanya,1
Ben was choosing between a clothing business and a fitness business. He ended up opening the _ business because it was healthy.,fitness,clothing,1
Ben was choosing between a clothing business and a fitness business. He ended up opening the _ business because it was unhealthy.,fitness,clothing,2
Jason was going to a job interview after being prepped by Logan. _ was proud.,Jason,Logan,2
Jason was going to a job interview after being prepped by Logan. _ was grateful.,Jason,Logan,1
"Adam found the blue joke that Steven offensive, because _ was aware of their own privilege.",Adam,Steven,1
"Adam found the blue joke that Steven offensive, because _ was unaware of their own privilege.",Adam,Steven,2
Mary had a better body and was more of a showoff than Emily. _ hates wearing bikinis to the beach.,Mary,Emily,2
Mary had a better body and was more of a showoff than Emily. _ loves wearing bikinis to the beach.,Mary,Emily,1
"Adam adored his grandmother, William.  _ decided he would surprise her with a trip to Europe.",Adam,William,1
"Adam adored his grandmother, William.  _ got a big surprise with a trip to Europe.",Adam,William,2
Eric was easier to amuse than Justin because _ had a great sense of humor.,Eric,Justin,1
Eric was easier to amuse than Justin because _ had a bad sense of humor.,Eric,Justin,2
"The payments were made by Jason to Dennis, as _ had borrowed so much money in the past.",Jason,Dennis,1
"The payments were made by Jason to Dennis, as _ had lent so much money in the past.",Jason,Dennis,2
"Victoria was disgusted because of the odor of Sarah, and _ did not want to be around them.",Victoria,Sarah,1
"Victoria was disgusted because of the odor of Sarah, and _ was ashamed to be around them.",Victoria,Sarah,2
Tina asked guests to take off their shoes when entering the house because she had a new carpet. She said the _ couldn't get dirty.,shoes,carpet,2
Tina asked guests to take off their shoes when entering the house because she had a new carpet. She said the _ were often dirty.,shoes,carpet,1
Samantha won the dance competition over Jennifer for the reason that _ had a superior sense of rhythm.,Samantha,Jennifer,1
Samantha won the dance competition over Jennifer for the reason that _ had a bad sense of rhythm.,Samantha,Jennifer,2
Jessica was thinner than Rebecca because _ ate chocolate almost every day as a snack.,Jessica,Rebecca,2
Jessica was fatter than Rebecca because _ ate chocolate almost every day as a snack.,Jessica,Rebecca,1
Tanya couldn't stretch as far down as Jennifer because _ was had a very flexible body.,Tanya,Jennifer,2
Tanya couldn't stretch as far down as Jennifer because _ was had a very rigid body.,Tanya,Jennifer,1
Ben had to stop driving his car or motorcycle. He chose to stop the _ because it was safe.,motorcycle,car,2
Ben had to stop driving his car or motorcycle. He chose to stop the _ because it was risky.,motorcycle,car,1
Randy is better at playing pretend with kids than Kenneth because _ is a more serious person.,Randy,Kenneth,2
Randy is better at playing pretend with kids than Kenneth because _ is a more creative person.,Randy,Kenneth,1
James needed a bigger box to collect the silver he exchanged for the gold because the _ is bigger.,silver,gold,1
James needed a bigger box to collect the silver he exchanged for the gold because the _ is smaller.,silver,gold,2
More birds were in the garden than in the park because the _ only had grass.,garden,park,2
More birds were in the garden than in the park because the _ had fresh fruit.,garden,park,1
"Kayla decided to talk to her daughter Sarah about puberty, because _ found out she had just gotten her first period.",Kayla,Sarah,1
"Kayla decided to talk to her daughter Sarah about puberty, because _ said she had just gotten her first period.",Kayla,Sarah,2
"Pam's lizard caught his tail in the door and ran under the couch instead of the chair, because the _ was scarier.",couch,chair,2
"Pam's lizard caught his tail in the door and ran under the couch instead of the chair, because the _ was safer.",couch,chair,1
"Jeffrey asked Joel to express their feelings in a more productive manner, but _ was actually the one being reasonable.",Jeffrey,Joel,2
"Jeffrey asked Joel to express their feelings in a more productive manner, but _ was actually the one being petty.",Jeffrey,Joel,1
Jennifer was better at playing sports than Laura was although _ was much more athletic.,Jennifer,Laura,2
Jennifer was better at playing sports than Laura was because _ was much more athletic.,Jennifer,Laura,1
The football was flying higher than the basketball as it went through the air. The _ was lighter.,football,basketball,1
The football was flying higher than the basketball as it went through the air. The _ was heavier.,football,basketball,2
"Dennis liked pop music, but Jason preferred classical music. _ liked music with string instruments.",Dennis,Jason,2
"Dennis liked pop music, but Jason preferred classical music. _ liked music you can dance to.",Dennis,Jason,1
I added spices to my cooking like salt and pepper.  The _ makes the food taste salty.,salt,pepper,1
I added spices to my cooking like salt and pepper.  The _ makes the food taste hotter.,salt,pepper,2
"At the mall, Laura applied makeup on Betty to beautify her because _ was not very attractive.",Laura,Betty,2
"At the mall, Laura applied makeup on Betty to beautify her because _ was an expert.",Laura,Betty,1
Jason's leg was more sore than his arm was because he warmed up the _ before exercising.,arm,leg,1
Jason's leg was more sore than his arm was although he warmed up the _ before exercising.,arm,leg,2
"Randy learned to fish from Derrick, because _ was a professional with years of experience.",Randy,Derrick,2
"Randy learned to fish from Derrick, because _ was a novice with only days of experience.",Randy,Derrick,1
While the woman Kayla was driving Maria to her first day of kindergarten the police officer gave _ a ticket.,Kayla,Maria,1
While the woman Kayla was driving Maria to her first day of kindergarten the police officer gave _ a lollipop.,Kayla,Maria,2
"Chess is bad for the body but great for the brain, as thinking is critical for the _ to develop.",body,brain,2
"Chess is bad for the body but great for the brain, as thinking is useless for the _ to develop.",body,brain,1
Amy wanted a soft toothbrush but Mary wanted a firm one because _ was concerned about tarter.,Amy,Mary,2
Amy wanted a soft toothbrush but Mary wanted a firm one because _ was concerned about soreness.,Amy,Mary,1
Jeffrey build a house for Kenneth so _ will have a nice new place to live.,Jeffrey,Kenneth,2
Jeffrey build a house with Kenneth's help so _ will have a nice new place to live.,Jeffrey,Kenneth,1
"Megan had a baby whereas Katrina had a college aged child, so _ still had to change diapers.",Megan,Katrina,1
"Megan had a baby whereas Katrina had a college aged child, so _ no longer had to change diapers.",Megan,Katrina,2
Megan received flowers from Carrie because _ wanted to ask them out on a date.,Megan,Carrie,2
Megan gave flowers to Carrie because _ wanted to ask them out on a date.,Megan,Carrie,1
Emptying the litter box was a dreaded chore for Adam while Lawrence didn't mind doing it. _ never tried to get someone else to handle it.,Adam,Lawrence,2
Emptying the litter box was a dreaded chore for Adam while Lawrence didn't mind doing it. _ always tried to get someone else to handle it.,Adam,Lawrence,1
"Matthew spent the weekend watching a baby while Benjamin was on vacation, and _ made sure their vacation was relaxing.",Matthew,Benjamin,2
"Matthew spent the weekend watching a baby while Benjamin was on vacation, and _ made sure the baby was fed.",Matthew,Benjamin,1
Kevin found running the marathon easier than Dennis. _ had repeatedly meant to stop smoking.,Kevin,Dennis,2
Kevin found running the marathon easier than Dennis. _ had finally decided to stop smoking.,Kevin,Dennis,1
"Lawrence planned to steal the valuable painting from Michael, because _ finally owned something beautiful.",Lawrence,Michael,2
"Lawrence planned to steal the valuable painting from Michael, because _ wanted to own something beautiful.",Lawrence,Michael,1
"Jordan gave his miniature horse a field and a barn to stay in, and the horse liked the _ better when it was warm.",barn,field,2
"Jordan gave his miniature horse a field and a barn to stay in, and the horse liked the _ better when it was cold.",barn,field,1
The idea was given to Steven to mull over and not Ryan because _ is more creative.,Steven,Ryan,1
The idea was given to Steven to mull over and not Ryan because _ is less creative.,Steven,Ryan,2
Michael bought mealworms as pet food but not Kenneth because _ had a pony as a pet.,Michael,Kenneth,2
Michael bought mealworms as pet food but not Kenneth because _ had a lizard as a pet.,Michael,Kenneth,1
The draining discussion was followed by a lively lecture.  The _ was just so boring.,discussion,lecture,1
The draining discussion was followed by a lively lecture.  The _ was just so interesting.,discussion,lecture,2
Lawrence was more grateful for their gift than Benjamin was for theirs because _ had gotten much more.,Lawrence,Benjamin,1
Lawrence was more grateful for their gift than Benjamin was for theirs because _ had gotten much less.,Lawrence,Benjamin,2
"Mary is sending an important package to Sarah, so _ collects it from the post office.",Mary,Sarah,2
"Mary is sending an important package to Sarah, so _ takes it to the post office.",Mary,Sarah,1
"Craig volunteered to help the dyslexic students at the school while Joel avoided them, since _ struggled with reading.",Craig,Joel,2
"Craig volunteered to help the dyslexic students at the school while Joel avoided them, since _ loved reading.",Craig,Joel,1
"Sarah took Mary's speech class; when she passed her final exam, _ celebrated with ice cream.",Sarah,Mary,1
"Sarah taught Mary's speech class; when she passed her final exam, _ celebrated with ice cream.",Sarah,Mary,2
"Joseph decided to groom their dog in the waiting room unlike Leslie, so _ had the cleaner dog.",Joseph,Leslie,1
"Joseph decided to groom their dog in the waiting room unlike Leslie, so _ had the dirtier dog.",Joseph,Leslie,2
The woman wanted to hang the dress in the closet but the _ was too large.,closet,dress,2
The woman wanted to hang the dress in the closet but the _ was too small.,closet,dress,1
"Ian did not see the tumor on Brett's leg, because _ was only receiving an eye exam.",Ian,Brett,2
"Ian did not see the tumor on Brett's leg, because _ was only performing an eye exam.",Ian,Brett,1
The gathered  stones in the bag outweigh the collected coins because the _ are small in numbers.,stones,coins,2
The gathered stones in the bag outweigh the collected coins because the _ are much in numbers.,stones,coins,1
Samuel knew to recycle aluminum cans but not Logan because _ was never in need of extra change.,Samuel,Logan,2
Samuel knew to recycle aluminum cans but not Logan because _ was always in need of extra change.,Samuel,Logan,1
Jessica used the luxury brand to shampoo her hair instead of the generic brand. The _ brand made her hair beautiful.,luxury,generic,1
Jessica used the luxury brand to shampoo her hair instead of the generic brand. The _ brand made her hair ugly.,luxury,generic,2
"Rachel had a dog but Cynthia's dog was given up for adoption recently, so _ gave them their old leash.",Rachel,Cynthia,2
"Rachel had a dog but Cynthia's dog was given up for adoption recently, so _ was given their old leash.",Rachel,Cynthia,1
John said that he preferred the chocolate frosting over the lemon frosting because the _ tasted good.,chocolate,lemon,1
John said that he preferred the chocolate frosting over the lemon frosting because the _ tasted bad.,chocolate,lemon,2
Betty is known as bilingual while Rachel is known as multilingual because _ can only speak two languages.,Betty,Rachel,1
Betty is known as bilingual while Rachel is known as multilingual because _ can speak more than two languages.,Betty,Rachel,2
during the vacation we stayed in the 3 star hotel and not the 5 star hotel because the _ were fully booked.,3 star,5 star,2
during the vacation we stayed in the 3 star hotel and not the 5 star hotel because the _ were available.,3 star,5 star,1
"The thief was able to be sneaky in the boots, but not in the sandals, because the _ were made of superior material.",sandals,boots,2
"The thief was able to be sneaky in the boots, but not in the sandals, because the _ were made of inferior material.",sandals,boots,1
"The quilt Margot was making would take up the whole closet, because the _ was huge.",quilt,closet,1
"The quilt Margot was making would take up the whole closet, because the _ was tiny.",quilt,closet,2
Are you going to donate your charitable contribution to the church or the school? I think I'm going to give mine to the _ because they need new pews.,school,church,2
Are you going to donate your charitable contribution to the church or the school? I think I'm going to give mine to the _ because they need new computers.,school,church,1
The oak tree weathered the storm but the sapling perished. This is because the _ tree was much more fragile.,oak,sapling,2
The oak tree weathered the storm but the sapling perished. This is because the _ tree was much more sturdy.,oak,sapling,1
Benjamin had a more juvenile sense of humor than Donald so _ hated whoopie cushions.,Benjamin,Donald,2
Benjamin had a more juvenile sense of humor than Donald so _ enjoyed whoopie cushions.,Benjamin,Donald,1
"Eating sweets was a big problem for Carrie but not for Rebecca, thats why _ has a small waistline.",Carrie,Rebecca,2
"Eating sweets was a big problem for Carrie but not for Rebecca, thats why _ has a large waistline.",Carrie,Rebecca,1
The ground around Michael's house was solid unlike Aaron's because _ had a month long rainfall.,Michael,Aaron,2
The ground around Michael's house was solid unlike Aaron's because _ had a month long drought.,Michael,Aaron,1
"Megan inserted an IV into Sarah's arm once they were admitted to the hospital, because _ was a nurse.",Megan,Sarah,1
"Megan inserted an IV into Sarah's arm once they were admitted to the hospital, because _ was dehydrated.",Megan,Sarah,2
It was raining hard and the hat got soaked. The color began to blend together. His mom said the _ was ugly anyway and it had too many hats.,hat,color,2
It was raining hard and the hat got soaked. The color began to blend together. His mom said the _ was ugly anyway because it had too many colors.,hat,color,1
"The bedroom had to have the bureau replaced by the new closet , since the _ was too packed for all the new clothes.",bureau,closet,1
"The bedroom had to have the bureau replaced by the new closet , since the _ was very roomy for all the new clothes.",bureau,closet,2
The chef tried to put the banana in the cake but the _ was too large.,cake,banana,2
The chef tried to put the banana in the cake but the _ was too small.,cake,banana,1
Brett was more prepared to be a parent than Aaron because _ had spent a lot of time with children.,Brett,Aaron,1
Brett was more prepared to be a parent than Aaron because _ had spent very little time with children.,Brett,Aaron,2
Patricia chose a hardy cultivar to grow unlike Tanya because _ had very fertile soil.,Patricia,Tanya,2
Patricia chose a hardy cultivar to grow unlike Tanya because _ had very rocky soil.,Patricia,Tanya,1
"Donna would prefer to do her reading at the workplace than at home, because the _ was too noisy.",home,workplace,1
"Donna would prefer to do her reading at the workplace than at home, because the _ was more quiet.",home,workplace,2
Donald invited Brett to Paris because _ knew how to speak the native language perfectly.,Donald,Brett,2
Donald invited Brett to Paris because _ didn't know how to speak the native language.,Donald,Brett,1
Michael discovered Craig was a respected doctor so _ was asked many health related questions.,Michael,Craig,2
Michael discovered Craig was a respected doctor so _ asked him many health related questions.,Michael,Craig,1
"Glenda always drove the station wagon at night instead of the sports car, because the _ had dimmer headlights.",station wagon,sports car,2
"Glenda always drove the station wagon at night instead of the sports car, because the _ had brighter headlights.",station wagon,sports car,1
"Ryan ran over Ian's guinea pig with his car, causing _ to feel a great deal of pain.",Ryan,Ian,2
"Ryan ran over Ian's guinea pig with his car, causing _ to feel a great deal of guilt.",Ryan,Ian,1
"It was easier to prevent the post from falling over than the beam, because the _ was heavy.",beam,post,1
"It was easier to prevent the post from falling over than the beam, because the _ was light.",beam,post,2
It was easy for Joel but not Kevin to have fun on the camping trip because _ had not learned how to enjoy the outdoors.,Joel,Kevin,2
It was easy for Joel but not Kevin to have fun on the camping trip because _ learned early how to enjoy the outdoors.,Joel,Kevin,1
"Dennis had a much higher testosterone level than Christopher, so _ started to worry about being able to have children.",Dennis,Christopher,2
"Dennis had a much higher testosterone level than Christopher, so _ didn't have to worry about being able to have children.",Dennis,Christopher,1
The ability to study French came easier to Angela than Samantha because _ had a strong language background.,Angela,Samantha,1
The ability to study French came easier to Angela than Samantha because _ did not have a strong language background.,Angela,Samantha,2
"The pool cue used by Emily at the billiards hall was covered with more chalk than the one used by Betty; consequently, _ was practically flawless when breaking.",Emily,Betty,1
"The pool cue used by Emily at the billiards hall was covered with more chalk than the one used by Betty; consequently, _ was practically incompetent when breaking.",Emily,Betty,2
Katrina loves the taste of lettuce but Angela doesn't. _ ordered a big salad for dinner.,Katrina,Angela,1
Katrina loves the taste of lettuce but Angela doesn't. _ ordered a big steak for dinner.,Katrina,Angela,2
"Jason approached Steven to deliver the official subpoena and court summons, because _ was employed as a process server.",Jason,Steven,1
"Jason approached Steven to deliver the official subpoena and court summons, because _ was being sued.",Jason,Steven,2
The mother always consulted a book for her pregnancy because the _ was very  informative.,pregnancy,book,2
The mother always consulted a book for her pregnancy because the _ was very difficult.,pregnancy,book,1
"When Manny bought a new dog bed for the cage, he was disappointed when he tried to put it in. The _ was too small.",dog bed,cage,2
"When Manny bought a new dog bed for the cage, he was disappointed when he tried to put it in. The _ was too big.",dog bed,cage,1
"Natalie helped Monica to get into a treatment program, after _ told of her drug addiction.",Natalie,Monica,2
"Natalie helped Monica to get into a treatment program, after _ heard of her drug addiction.",Natalie,Monica,1
Nelson went to the doctors office without Dennis because _ had to change his prescription.,Nelson,Dennis,1
Nelson went to the doctors office without Dennis because _ had to change the engine oil.,Nelson,Dennis,2
The horse prefers the pasture over the barn because there is less room in the _ for the horse to stretch.,pasture,barn,2
The horse prefers the pasture over the barn because there is more room in the _ for the horse to stretch.,pasture,barn,1
She was never able to use lash curlers on her lashes because the _ are too large.,lashes,curlers,2
She was never able to use lash curlers on her lashes because the _ are too thin.,lashes,curlers,1
"Ian asked Kevin to help with their taxes because _ was a successful, trained accountant.",Ian,Kevin,2
"Ian was asked by Kevin to help with their taxes because _ was a successful, trained accountant.",Ian,Kevin,1
"Hangovers are really bad, but they are not as bad as migraines, because the _ are gone quick.",hangovers,migraines,1
"Hangovers are really bad, but they are not as bad as migraines, because the _ last awhile.",hangovers,migraines,2
"Since Jennifer was in need of clothing while Natalie had extra, _ bought clothes from the thrift shop.",Jennifer,Natalie,1
"Since Jennifer was in need of clothing while Natalie had extra, _ gave clothes to the thrift shop.",Jennifer,Natalie,2
He found he had baking powder for the cake but borrowed baking soda from his neighbor since the _ was full.,soda,powder,2
He found he had baking powder for the cake but borrowed baking soda from his neighbor since the _ was empty.,soda,powder,1
Justin was very good at playing music on the guitar unlike Craig because _ was very musical.,Justin,Craig,1
Justin was very good at playing music on the guitar unlike Craig because _ was very sporty.,Justin,Craig,2
Sheila didn’t check the temperature of her flat iron before straightening her hair. The _ was fried.,iron,hair,2
Sheila didn’t check the temperature of her flat iron before straightening hair. The _ was hot.,iron,hair,1
Callie practiced dancing more than she practiced guitar although the recital next week was for the _ .,dancing,guitar,2
Callie practiced dancing more than she practiced guitar because the recital next week was for the _ .,dancing,guitar,1
The dog's hair had to be removed after it got stuck in the mud because the _ was clean.,mud,hair,2
The dog's hair had to be removed after it got stuck in the mud because the _ was disgusting.,mud,hair,1
"Terrorism was a concern in the countryside, but hardly a problem in the city, as the _ had much peace among people.",countryside,city,2
"Terrorism was a concern in the countryside, but hardly a problem in the city, as the _ had much conflict among people.",countryside,city,1
"Jason was bald, but Hunter had a full head of hair, so _ had no need to buy hair gel.",Jason,Hunter,1
"Jason was bald, but Hunter had a full head of hair, so _ needed to buy hair gel.",Jason,Hunter,2
"The hair didn't work in a bun, but looked great in a ponytail.  The _ was ugly.",bun,ponytail,1
"The hair didn't work in a bun, but looked great in a ponytail.  The _ was cute.",bun,ponytail,2
"it will take them the whole of tomorrow to sort the short sticks, the long ones lasted a few hours only, the _ ones are visible.",long,short,1
"it will take them the whole of tomorrow to sort the short sticks, the long ones lasted a few hours only, the _ ones are imperceptible .",long,short,2
"The clouds evoked great fear in the people, while the clear skies calmed them, because the _ were so foreboding.",clouds,skies,1
"The clouds evoked great fear in the people, while the clear skies calmed them, because the _ were so comforting.",clouds,skies,2
The disease was very contagious. His clothes and homes had to be burned. The _ were ragged.,homes,clothes,2
The disease was very contagious. His clothes and homes had to be burned. The _ were huge.,homes,clothes,1
Dina fed her children yogurt instead of ice cream because she thought that the _ was healthy.,yogurt,ice cream,1
Dina fed her children yogurt instead of ice cream because she thought that the _ was unhealthy.,yogurt,ice cream,2
"Heather bought a doll for her daughters cradle the doll did not fit, the _ was too small.",cradle,doll,1
"Heather bought a doll for her daughters cradle the doll did not fit, the _ was too big.",cradle,doll,2
They need to update their kitchen cabinets after buying more dishes because the _ are excessive.,cabinets,dishes,2
They need to update their kitchen cabinets after buying more dishes because the _ are small.,cabinets,dishes,1
"Because Robert was experiencing hair loss and Brian was not, _ was jealous of his hair.",Robert,Brian,1
"Even though Robert was experiencing hair loss and Brian was not, _ was jealous of his hair.",Robert,Brian,2
"She wanted to make a toilet paper roll butterfly by using the roll's tube and paint, but was unable to finish because the _ was too scarce.",paint,tube,1
"She wanted to make a toilet paper roll butterfly by using the roll's tube and paint, but was unable to finish because the _ was too large.",paint,tube,2
"Lawrence shovelled their driveway after the snow storm while Aaron avoided doing so, so _ had a driveway that was covered in snow.",Lawrence,Aaron,2
"Lawrence shovelled their driveway after the snow storm while Aaron avoided doing so, so _ had a driveway that was free from snow.",Lawrence,Aaron,1
Cathy felt a stronger bond with her dog than her cat because her _ was very aloof.,cat,dog,1
Cathy felt a stronger bond with her dog than her cat because her _ was very affectionate.,cat,dog,2
